# Complex refractive index of paint proxy (PMMA, as a proxy for an automotive clearcoat), n(lambda) + i k(lambda), 0.6-19.6 um.
#
# source: X. Zhang, J. Qiu, X. Li, J. Zhao, L. Liu (2020), 'Complex refractive indices measurements of polymers in visible and near-infrared bands', Appl. Opt. 59, 2337-2344. doi:10.1364/AO.383831. Mitsubishi PMMA sample.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/organic/(C5H8O2)n%20-%20poly(methyl%20methacrylate)/nk/Zhang-Mitsubishi.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-19.6 um; values otherwise unmodified.
#   PROXY: PMMA, not paint. A paint film is a pigmented basecoat under a polymer clearcoat, and the clearcoat is an acrylic -- so this is the binder, measured, without the pigment. It exists to give the *painted* material class a fitted Level B (a, p) instead of an estimated one (§4.2 asks for exactly that fit), and the emissivity magnitude still comes from each material's authored band value.
#
# Check values interpolated from this table: n(1.55 um) = 1.477070, k = 3.39e-06;
#   n(10.0 um) = 1.499792, k = 0.042477. Normal-incidence Fresnel emissivity at 10.0 um: 0.95975.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
7.2822,1.45959,0.0296
7.3233,1.45466,0.0258
7.3649,1.45062,0.0237
7.407,1.44538,0.0215
7.4496,1.43947,0.0203
7.4926,1.43269,0.02
7.5362,1.42526,0.0207
7.5803,1.41714,0.0224
7.6249,1.40742,0.0248
7.67,1.396,0.0291
7.7156,1.38276,0.0371
7.7618,1.36666,0.0531
7.8086,1.35944,0.0837
7.8559,1.37624,0.112
7.9038,1.39786,0.116
7.9523,1.39825,0.116
8.0014,1.40121,0.136
8.0511,1.43175,0.151
8.1014,1.46268,0.131
8.1524,1.46081,0.094
8.204,1.42745,0.0751
8.2562,1.38049,0.0923
8.3091,1.35741,0.153
8.3628,1.39213,0.212
8.4171,1.44491,0.218
8.4721,1.46234,0.2
8.5278,1.4559,0.2
8.5843,1.44851,0.228
8.6415,1.47517,0.292
8.6995,1.57461,0.331
8.7583,1.6801,0.275
8.8179,1.70927,0.177
8.8783,1.68768,0.113
8.9395,1.66124,0.0785
9.0016,1.63853,0.0575
9.0645,1.61902,0.0444
9.1284,1.60238,0.0366
9.1931,1.58876,0.0338
9.2588,1.57771,0.0348
9.3254,1.57241,0.0389
9.393,1.57482,0.0399
9.4615,1.57671,0.0299
9.5311,1.5689,0.0163
9.6017,1.556,0.0102
9.6733,1.54576,0.00877
9.7461,1.53653,0.00858
9.8199,1.52516,0.00973
9.8949,1.51006,0.0155
9.971,1.4976,0.0334
10.048,1.50342,0.0575
10.127,1.52393,0.0674
10.207,1.5376,0.0614
10.288,1.54211,0.0568
10.37,1.54943,0.0538
10.453,1.55606,0.0439
10.538,1.55564,0.0329
10.625,1.55099,0.0267
10.713,1.54408,0.0242
10.802,1.53806,0.0241
10.893,1.53598,0.0258
10.985,1.53809,0.0248
11.079,1.53925,0.0196
11.174,1.53546,0.0146
11.272,1.53047,0.0131
11.37,1.52555,0.0134
11.471,1.52025,0.0144
11.573,1.51577,0.0176
11.678,1.51261,0.0235
11.784,1.51555,0.032
11.892,1.52682,0.0353
12.002,1.53382,0.0289
12.114,1.53231,0.0229
12.229,1.52986,0.021
12.345,1.52916,0.0209
12.464,1.52878,0.0177
12.585,1.52539,0.0124
12.708,1.52006,0.0108
12.834,1.51388,0.0123
12.962,1.50846,0.0171
13.093,1.50305,0.0281
13.227,1.51166,0.0444
13.363,1.53752,0.0441
13.502,1.54967,0.0236
13.645,1.54161,0.0106
13.79,1.53237,0.00629
13.938,1.52831,0.00383
14.089,1.52547,0.00367
14.244,1.52376,0.00387
14.403,1.52155,0.00393
14.564,1.51834,0.00365
14.73,1.51581,0.00354
14.899,1.51541,0.00329
15.072,1.515,0.0019
15.25,1.51263,0.00267
15.431,1.51126,0.00459
15.617,1.50974,0.00646
15.808,1.50641,0.00722
16.003,1.50594,0.00682
16.203,1.50869,0.00575
16.408,1.50994,0.00452
16.618,1.50916,0.00324
16.834,1.50654,0.00421
17.056,1.50484,0.00639
17.283,1.50405,0.00517
17.517,1.50133,0.00435
17.757,1.49797,0.0055
18.003,1.49843,0.00608
18.257,1.49981,0.00693
18.518,1.49776,0.00855
18.786,1.49549,0.0101
19.062,1.49301,0.0134
19.347,1.48787,0.0153
19.64,1.48558,0.0162
